,Connections,Flagle,Framed,Octordle,Waffle,Wordle,Worldle
2023-10-03,,,1.0,,4.0,3.0,1.0
2023-10-04,,3.0,,,3.0,3.0,1.0
2023-10-05,,2.0,,,,4.0,4.0
2023-10-06,,4.0,5.0,13.0,2.0,4.0,1.0
2023-10-07,,1.0,6.0,12.0,5.0,5.0,1.0
2023-10-08,,7.0,7.0,11.0,4.0,4.0,7.0
2023-10-09,,3.0,7.0,,,4.0,1.0
2023-10-10,,3.0,5.0,,2.0,3.0,
2023-10-11,,3.0,7.0,14.0,4.0,4.0,1.0
2023-10-12,,,,,3.0,5.0,3.0
2023-10-13,,3.0,,,2.0,5.0,4.0
2023-10-14,,4.0,,,,3.0,2.0
2023-10-15,,7.0,,,-1.0,3.0,1.0
2023-10-16,,3.0,2.0,,3.0,5.0,
2023-10-17,,,,,,4.0,
2023-10-18,,2.0,1.0,,2.0,5.0,1.0
2023-10-19,,3.0,,,,5.0,1.0
2023-10-20,,2.0,,,,4.0,1.0
2023-10-21,,3.0,1.0,12.0,4.0,3.0,1.0
2023-10-22,,2.0,1.0,12.0,4.0,5.0,1.0
2023-10-23,,3.0,7.0,,,3.0,
2023-10-24,,3.0,4.0,,2.0,4.0,3.0
2023-10-25,,2.0,7.0,13.0,3.0,4.0,1.0
2023-10-26,,7.0,7.0,,5.0,4.0,1.0
2023-10-27,,7.0,5.0,,5.0,4.0,3.0
2023-10-28,,3.0,7.0,,5.0,3.0,1.0
2023-10-29,,2.0,,,,4.0,1.0
2023-10-30,,2.0,,,,5.0,
2023-10-31,,,,,,3.0,
2023-11-01,,2.0,7.0,,3.0,3.0,1.0
2023-11-02,,3.0,7.0,,3.0,4.0,1.0
2023-11-03,,2.0,,13.0,4.0,6.0,1.0
2023-11-04,,2.0,2.0,14.0,4.0,4.0,3.0
2023-11-05,,2.0,3.0,12.0,,3.0,1.0
2023-11-06,,2.0,,,3.0,2.0,1.0
2023-11-07,,2.0,7.0,11.0,2.0,3.0,2.0
2023-11-08,,3.0,,,,5.0,2.0
2023-11-09,,4.0,,,5.0,4.0,1.0
2023-11-10,,,7.0,,3.0,2.0,1.0
2023-11-11,,3.0,1.0,13.0,3.0,4.0,2.0
2023-11-12,,3.0,5.0,,4.0,4.0,1.0
2023-11-13,,3.0,7.0,,3.0,3.0,1.0
2023-11-14,,2.0,7.0,13.0,3.0,6.0,1.0
2023-11-15,,2.0,,,,3.0,1.0
2023-11-16,,6.0,7.0,,4.0,3.0,1.0
2023-11-17,,3.0,7.0,,,2.0,1.0
2023-11-18,,2.0,7.0,11.0,4.0,3.0,1.0
2023-11-19,,2.0,7.0,10.0,1.0,4.0,1.0
2023-11-20,,3.0,7.0,10.0,5.0,3.0,1.0
2023-11-21,,2.0,5.0,14.0,5.0,3.0,
2023-11-22,,2.0,2.0,,1.0,5.0,1.0
2023-11-23,,2.0,7.0,,,3.0,1.0
2023-11-24,,3.0,,,,,1.0
2023-11-25,,,2.0,,,3.0,
2023-11-26,,,,,,,
2023-11-27,,2.0,4.0,,2.0,4.0,1.0
2023-11-28,,2.0,,,,3.0,2.0
2023-11-29,,,6.0,,,4.0,
2023-11-30,,2.0,,,,4.0,1.0
2023-12-01,,,,,,,2.0
2023-12-02,,,,,,4.0,1.0
2023-12-03,,2.0,3.0,,4.0,3.0,1.0
2023-12-04,,4.0,,,,3.0,1.0
2023-12-05,,7.0,,,,3.0,1.0
2023-12-06,,6.0,,,4.0,3.0,1.0
2023-12-07,,2.0,,,,5.0,1.0
2023-12-08,,2.0,,,,3.0,
2023-12-09,,3.0,5.0,,4.0,4.0,4.0
2023-12-10,,5.0,,,0.0,,7.0
2023-12-11,,2.0,7.0,,3.0,3.0,7.0
2023-12-12,,2.0,1.0,,3.0,2.0,1.0
2023-12-13,,5.0,1.0,,5.0,3.0,1.0
2023-12-14,,4.0,,11.0,3.0,3.0,1.0
2023-12-15,,2.0,7.0,,4.0,3.0,1.0
2023-12-16,,2.0,7.0,13.0,2.0,4.0,1.0
2023-12-17,,2.0,7.0,,-1.0,3.0,1.0
2023-12-18,,3.0,7.0,,,4.0,
2023-12-19,,2.0,7.0,14.0,4.0,3.0,5.0
2023-12-20,,,,,,4.0,
2023-12-21,,3.0,,,,5.0,
2023-12-22,,3.0,,,,,1.0
2023-12-23,,2.0,2.0,,4.0,3.0,1.0
2023-12-24,,2.0,7.0,10.0,4.0,3.0,1.0
2023-12-25,,5.0,7.0,,5.0,3.0,1.0
2023-12-26,,2.0,5.0,14.0,2.0,4.0,1.0
2023-12-27,,,,,,4.0,2.0
2023-12-28,,4.0,7.0,11.0,2.0,2.0,4.0
2023-12-29,,4.0,7.0,,4.0,4.0,1.0
2023-12-30,,4.0,7.0,,1.0,3.0,1.0
2023-12-31,,3.0,7.0,,4.0,2.0,6.0
2024-01-01,,2.0,7.0,,5.0,3.0,
2024-01-02,,2.0,6.0,,-1.0,4.0,1.0
2024-01-03,,,,,,3.0,
2024-01-04,,2.0,,12.0,5.0,3.0,1.0
2024-01-05,,5.0,7.0,,4.0,3.0,1.0
2024-01-06,,,,,,4.0,1.0
2024-01-07,,,,,,,
2024-01-08,,,,,,,
2024-01-09,,,,,,4.0,
2024-01-10,,,,,,4.0,1.0
2024-01-11,,,,,,4.0,
2024-01-12,,2.0,7.0,,4.0,2.0,1.0
2024-01-13,,,,,,,
2024-01-14,,2.0,7.0,,3.0,3.0,3.0
2024-01-15,,3.0,7.0,,4.0,4.0,1.0
2024-01-16,,6.0,3.0,,2.0,3.0,6.0
2024-01-17,,,,,,2.0,
2024-01-18,,,,,,2.0,1.0
2024-01-19,,5.0,,,3.0,3.0,1.0
2024-01-20,,,,,5.0,3.0,1.0
2024-01-21,,2.0,,11.0,5.0,3.0,1.0
2024-01-22,,2.0,,,4.0,3.0,1.0
2024-01-23,,2.0,,,,4.0,
2024-01-24,,3.0,7.0,12.0,3.0,3.0,1.0
2024-01-25,,3.0,,,,3.0,1.0
2024-01-26,,2.0,7.0,10.0,2.0,3.0,1.0
2024-01-27,,3.0,,,2.0,3.0,
2024-01-28,,,,,,,
2024-01-29,,,,,,6.0,3.0
2024-01-30,,2.0,7.0,,5.0,4.0,1.0
2024-01-31,,2.0,7.0,,2.0,4.0,1.0
2024-02-01,,3.0,5.0,,2.0,3.0,1.0
2024-02-02,,6.0,7.0,,3.0,3.0,1.0
2024-02-03,,,,,,3.0,1.0
2024-02-04,,2.0,7.0,,3.0,5.0,1.0
2024-02-05,,,,12.0,4.0,4.0,
2024-02-06,,,1.0,,,4.0,
2024-02-07,,2.0,,,,3.0,1.0
2024-02-08,,3.0,7.0,,5.0,3.0,1.0
2024-02-09,,2.0,7.0,,4.0,3.0,1.0
2024-02-10,,,,,,3.0,1.0
2024-02-11,,,,,,4.0,1.0
2024-02-12,,2.0,7.0,,5.0,3.0,1.0
2024-02-13,,4.0,7.0,,2.0,3.0,1.0
2024-02-14,,3.0,7.0,,0.0,4.0,1.0
2024-02-15,,2.0,7.0,,2.0,4.0,
2024-02-16,,6.0,7.0,12.0,4.0,4.0,1.0
2024-02-17,,3.0,7.0,,4.0,3.0,1.0
2024-02-18,,4.0,7.0,13.0,,4.0,3.0
2024-02-19,,2.0,7.0,13.0,4.0,3.0,1.0
2024-02-20,,2.0,,,,3.0,
2024-02-21,,2.0,7.0,,3.0,3.0,1.0
2024-02-22,,,,,,4.0,1.0
2024-02-23,,2.0,,,,2.0,1.0
2024-02-24,,7.0,2.0,,2.0,4.0,1.0
2024-02-25,,3.0,6.0,,4.0,3.0,1.0
2024-02-26,,,,11.0,5.0,4.0,1.0
2024-02-27,,2.0,6.0,,5.0,4.0,1.0
2024-02-28,,,,,,5.0,
2024-02-29,,4.0,6.0,14.0,4.0,4.0,1.0
2024-03-01,,2.0,5.0,,3.0,4.0,
2024-03-02,,,6.0,,4.0,4.0,4.0
2024-03-03,,2.0,7.0,,3.0,3.0,1.0
2024-03-04,,,7.0,,3.0,3.0,1.0
2024-03-05,,3.0,7.0,,4.0,4.0,1.0
2024-03-06,,7.0,2.0,,4.0,2.0,7.0
2024-03-07,,2.0,4.0,,3.0,3.0,2.0
2024-03-08,,,,,3.0,4.0,1.0
2024-03-09,,,,,,4.0,
2024-03-10,,2.0,7.0,,5.0,3.0,
2024-03-11,,3.0,,,,3.0,1.0
2024-03-12,,3.0,7.0,,2.0,4.0,1.0
2024-03-13,,,,,2.0,3.0,1.0
2024-03-14,,3.0,,,3.0,3.0,1.0
2024-03-15,,2.0,7.0,,4.0,3.0,1.0
2024-03-16,,3.0,7.0,12.0,5.0,5.0,1.0
2024-03-17,,3.0,7.0,,,3.0,1.0
2024-03-18,,,6.0,12.0,5.0,3.0,1.0
2024-03-19,,,,,,4.0,1.0
2024-03-20,,2.0,,,,4.0,1.0
2024-03-21,,4.0,7.0,,5.0,3.0,2.0
2024-03-22,,,4.0,,1.0,3.0,1.0
2024-03-23,,2.0,1.0,11.0,3.0,4.0,1.0
2024-03-24,,2.0,7.0,11.0,5.0,3.0,1.0
2024-03-25,,,,,4.0,3.0,1.0
2024-03-26,,3.0,7.0,,1.0,3.0,1.0
2024-03-27,,3.0,7.0,,2.0,3.0,1.0
2024-03-28,,2.0,6.0,,5.0,3.0,4.0
2024-03-29,,2.0,3.0,12.0,5.0,3.0,1.0
2024-03-30,,4.0,6.0,,3.0,3.0,1.0
2024-03-31,,4.0,3.0,,3.0,4.0,1.0
2024-04-01,,7.0,7.0,,4.0,3.0,1.0
2024-04-02,,,,,4.0,6.0,1.0
2024-04-03,,2.0,4.0,14.0,3.0,3.0,1.0
2024-04-04,,3.0,6.0,14.0,4.0,3.0,1.0
2024-04-05,,2.0,4.0,13.0,5.0,3.0,1.0
2024-04-06,,2.0,4.0,12.0,4.0,3.0,1.0
2024-04-07,,3.0,3.0,,5.0,3.0,1.0
2024-04-08,,2.0,7.0,13.0,5.0,5.0,1.0
2024-04-09,,,,,,3.0,1.0
2024-04-10,,5.0,7.0,13.0,5.0,3.0,1.0
2024-04-11,,2.0,2.0,13.0,4.0,3.0,1.0
2024-04-12,,2.0,,,5.0,4.0,2.0
2024-04-13,,3.0,,,5.0,3.0,1.0
2024-04-14,,4.0,5.0,11.0,4.0,4.0,1.0
2024-04-15,,4.0,1.0,11.0,5.0,4.0,1.0
2024-04-16,,3.0,7.0,,4.0,3.0,1.0
2024-04-17,,,,,3.0,4.0,5.0
2024-04-18,,,,,,,
2024-04-19,,7.0,,11.0,,2.0,1.0
2024-04-20,,4.0,,12.0,,4.0,1.0
2024-04-21,,,,,,,1.0
2024-04-22,,,,,,2.0,
2024-04-23,,,2.0,,5.0,5.0,1.0
2024-04-24,,,,,,,
2024-04-25,,,,,,3.0,1.0
2024-04-26,,,,,,,
2024-04-27,,,,12.0,,,5.0
2024-04-28,,4.0,5.0,,2.0,3.0,1.0
2024-04-29,,2.0,6.0,13.0,4.0,3.0,
2024-04-30,,2.0,7.0,,4.0,4.0,5.0
2024-05-01,,,,,,3.0,2.0
2024-05-02,,,7.0,,3.0,3.0,2.0
2024-05-03,,2.0,3.0,13.0,3.0,3.0,1.0
2024-05-04,,,,,,,
2024-05-05,,2.0,3.0,14.0,2.0,4.0,1.0
2024-05-06,,,,,,3.0,
2024-05-07,,7.0,4.0,12.0,3.0,3.0,3.0
2024-05-08,,,7.0,,,4.0,1.0
2024-05-09,,3.0,7.0,,,3.0,1.0
2024-05-10,,2.0,1.0,13.0,1.0,4.0,1.0
2024-05-11,,3.0,,13.0,4.0,4.0,1.0
2024-05-12,,,6.0,,5.0,5.0,1.0
2024-05-13,,4.0,,,,5.0,7.0
2024-05-14,,3.0,7.0,,5.0,3.0,1.0
2024-05-15,,,7.0,13.0,5.0,3.0,1.0
2024-05-16,,7.0,7.0,13.0,5.0,4.0,1.0
2024-05-17,,,,13.0,,4.0,
2024-05-18,,,,,,4.0,1.0
2024-05-19,,2.0,7.0,,4.0,6.0,1.0
2024-05-20,,6.0,7.0,11.0,5.0,3.0,1.0
2024-05-21,,,,,,4.0,4.0
2024-05-22,,,6.0,,4.0,3.0,4.0
2024-05-23,,7.0,2.0,12.0,3.0,5.0,1.0
2024-05-24,,4.0,7.0,11.0,2.0,3.0,1.0
2024-05-25,,,,,2.0,4.0,5.0
2024-05-26,,,,12.0,0.0,4.0,
2024-05-27,,,3.0,12.0,2.0,4.0,1.0
2024-05-28,,3.0,7.0,11.0,2.0,3.0,1.0
2024-05-29,,2.0,2.0,11.0,4.0,6.0,1.0
2024-05-30,,3.0,,,3.0,5.0,1.0
2024-05-31,,2.0,7.0,,4.0,4.0,1.0
2024-06-01,,2.0,7.0,,2.0,4.0,2.0
2024-06-02,,,1.0,,4.0,4.0,1.0
2024-06-03,,,,,,2.0,
2024-06-04,,2.0,,11.0,5.0,3.0,1.0
2024-06-05,,,7.0,,,,
2024-06-06,,2.0,4.0,,5.0,2.0,1.0
2024-06-07,,2.0,7.0,,3.0,3.0,1.0
2024-06-08,,3.0,,,2.0,4.0,1.0
2024-06-09,,,,,,4.0,1.0
2024-06-10,,3.0,7.0,,5.0,5.0,1.0
2024-06-11,,2.0,7.0,,3.0,3.0,1.0
2024-06-12,,3.0,7.0,,5.0,4.0,1.0
2024-06-13,,,1.0,11.0,0.0,4.0,1.0
2024-06-14,,,,,,,
2024-06-15,,2.0,,,,3.0,1.0
2024-06-16,,2.0,7.0,,2.0,3.0,1.0
2024-06-17,,,,,,4.0,
2024-06-18,,3.0,7.0,,3.0,3.0,1.0
2024-06-19,,,5.0,,,2.0,1.0
2024-06-20,,5.0,7.0,,5.0,4.0,1.0
2024-06-21,,,,,,,
2024-06-22,,,,,,,7.0
2024-06-23,6.0,2.0,,,4.0,3.0,4.0
2024-06-24,,2.0,7.0,,5.0,4.0,1.0
2024-06-25,,2.0,,,,2.0,4.0
2024-06-26,,4.0,,,5.0,3.0,1.0
2024-06-27,,5.0,2.0,,3.0,3.0,1.0
2024-06-28,,2.0,,,3.0,3.0,1.0
2024-06-29,,2.0,7.0,11.0,0.0,4.0,1.0
2024-06-30,,4.0,7.0,,4.0,4.0,
2024-07-01,,,,,,3.0,
2024-07-02,,,,,,5.0,1.0
2024-07-03,,,,,,4.0,
2024-07-04,4.0,3.0,,,,,1.0
2024-07-05,,,,,,2.0,
2024-07-06,,3.0,,,5.0,5.0,1.0
2024-07-07,,,1.0,,3.0,4.0,1.0
2024-07-08,5.0,,,,,2.0,
2024-07-09,,2.0,1.0,,,2.0,1.0
2024-07-10,6.0,2.0,1.0,,2.0,4.0,1.0
2024-07-11,4.0,2.0,7.0,,2.0,4.0,5.0
2024-07-12,,2.0,,,3.0,5.0,1.0
2024-07-13,,,,,,3.0,
2024-07-14,4.0,3.0,7.0,,3.0,4.0,1.0
2024-07-15,,,,,,,
2024-07-16,8.0,7.0,5.0,,3.0,3.0,1.0
2024-07-17,,2.0,7.0,,,3.0,
2024-07-18,,,,,,5.0,1.0
2024-07-19,,,,,,4.0,
2024-07-20,4.0,,,12.0,4.0,3.0,1.0
2024-07-21,,,,,,5.0,
2024-07-22,,3.0,7.0,,1.0,5.0,1.0
2024-07-23,6.0,2.0,7.0,,3.0,3.0,1.0
2024-07-24,7.0,3.0,7.0,12.0,5.0,3.0,7.0
2024-07-25,,3.0,4.0,,2.0,,
2024-07-26,,,,,,,
2024-07-27,5.0,4.0,,,-1.0,4.0,1.0
2024-07-28,,,,,,3.0,
2024-07-29,4.0,,,,,3.0,
2024-07-29,4.0,,,,,3.0,
2024-07-30,,,,,,,
2024-07-31,4.0,3.0,7.0,,5.0,5.0,1.0
2024-08-01,,4.0,,,4.0,3.0,4.0
2024-08-02,5.0,2.0,7.0,,3.0,3.0,1.0
2024-08-03,4.0,2.0,4.0,,1.0,3.0,1.0
2024-08-04,,,,,,,
2024-08-05,4.0,2.0,6.0,,4.0,4.0,1.0
2024-08-06,6.0,2.0,,,,6.0,1.0
2024-08-07,,2.0,,,,6.0,2.0
2024-08-08,4.0,5.0,7.0,,5.0,4.0,1.0
2024-08-09,7.0,2.0,,,3.0,3.0,1.0
2024-08-10,4.0,,7.0,,5.0,3.0,1.0
2024-08-10,4.0,,7.0,,5.0,3.0,1.0
2024-08-11,,2.0,7.0,,5.0,4.0,1.0
2024-08-12,,,,,,,
2024-08-13,5.0,3.0,6.0,,4.0,,1.0
2024-08-14,4.0,,,,4.0,3.0,1.0
2024-08-15,8.0,3.0,7.0,,2.0,4.0,1.0
2024-08-16,4.0,2.0,,,4.0,3.0,1.0
2024-08-17,5.0,,7.0,,4.0,3.0,2.0
2024-08-18,,,,,,3.0,1.0
2024-08-19,8.0,2.0,,,,4.0,1.0
2024-08-20,8.0,2.0,7.0,,5.0,3.0,1.0
2024-08-21,,,7.0,,5.0,4.0,
2024-08-22,8.0,3.0,7.0,,5.0,4.0,1.0
2024-08-23,5.0,4.0,,,,5.0,1.0
2024-08-24,7.0,2.0,,,5.0,4.0,1.0
2024-08-25,5.0,2.0,1.0,,5.0,2.0,1.0
2024-08-26,6.0,3.0,,12.0,3.0,3.0,
2024-08-27,5.0,3.0,2.0,,5.0,4.0,1.0
2024-08-28,6.0,,,,,3.0,
2024-08-29,8.0,3.0,7.0,,3.0,4.0,1.0
2024-08-30,4.0,,,,3.0,4.0,1.0
2024-08-31,,,,,,4.0,1.0
2024-09-01,8.0,3.0,,,,3.0,1.0
2024-09-02,,,,,,4.0,
2024-09-03,4.0,,,,,3.0,1.0
2024-09-04,4.0,3.0,1.0,,3.0,2.0,1.0
2024-09-05,6.0,,,,,,6.0
2024-09-06,7.0,6.0,7.0,,1.0,5.0,2.0
2024-09-07,,2.0,7.0,,5.0,4.0,
2024-09-08,7.0,3.0,7.0,,2.0,4.0,
2024-09-09,8.0,,,,4.0,3.0,
2024-09-10,8.0,2.0,,,,3.0,1.0
2024-09-11,4.0,,,,,3.0,3.0
2024-09-12,8.0,5.0,,,,3.0,1.0
2024-09-13,8.0,3.0,7.0,,,,1.0
2024-09-14,5.0,2.0,6.0,,4.0,3.0,1.0
2024-09-15,5.0,6.0,6.0,,1.0,4.0,7.0
2024-09-16,4.0,7.0,6.0,,1.0,4.0,1.0
2024-09-17,,2.0,6.0,,2.0,5.0,1.0
2024-09-18,,2.0,7.0,,0.0,3.0,1.0
2024-09-19,,3.0,7.0,,,3.0,1.0
2024-09-20,,,,,,3.0,1.0
2024-09-21,4.0,2.0,,,,5.0,
2024-09-22,,3.0,7.0,,4.0,3.0,1.0
2024-09-23,5.0,,,,,2.0,
2024-09-24,4.0,,,,,3.0,
2024-09-25,6.0,,7.0,,2.0,4.0,1.0
2024-09-26,4.0,4.0,7.0,,2.0,3.0,1.0
2024-09-27,,,,,,,
2024-09-28,7.0,2.0,,,3.0,3.0,
2024-09-29,8.0,4.0,2.0,,1.0,4.0,1.0
2024-09-30,4.0,4.0,,,3.0,3.0,1.0
2024-10-01,7.0,3.0,7.0,,4.0,3.0,2.0
2024-10-02,,2.0,6.0,,4.0,4.0,1.0
2024-10-03,,2.0,,,1.0,5.0,1.0
2024-10-04,8.0,2.0,7.0,,5.0,5.0,1.0
2024-10-05,6.0,2.0,,,,3.0,1.0
2024-10-06,4.0,3.0,7.0,,4.0,4.0,1.0
2024-10-07,8.0,2.0,1.0,,,4.0,1.0
2024-10-08,,,,,,3.0,1.0
2024-10-09,,,,,,5.0,1.0
2024-10-10,5.0,,,12.0,,3.0,
2024-10-11,4.0,2.0,7.0,,4.0,4.0,
2024-10-12,5.0,2.0,7.0,,2.0,3.0,1.0
2024-10-13,,4.0,2.0,,,3.0,1.0
2024-10-14,5.0,2.0,5.0,,,3.0,1.0
2024-10-15,8.0,3.0,7.0,,3.0,5.0,1.0
2024-10-16,8.0,2.0,7.0,,5.0,3.0,1.0
2024-10-17,8.0,,,,,6.0,
2024-10-18,5.0,6.0,7.0,,4.0,3.0,1.0
2024-10-19,8.0,2.0,7.0,12.0,-1.0,7.0,3.0
2024-10-20,,,,,,,
2024-10-21,5.0,3.0,7.0,13.0,3.0,5.0,1.0
2024-10-22,,,4.0,,,4.0,2.0
2024-10-23,6.0,2.0,7.0,,,4.0,1.0
2024-10-24,6.0,6.0,7.0,,3.0,3.0,1.0
2024-10-25,4.0,2.0,7.0,12.0,5.0,4.0,1.0
2024-10-26,4.0,3.0,7.0,,4.0,3.0,1.0
2024-10-27,4.0,3.0,5.0,,4.0,3.0,1.0
2024-10-28,,,6.0,,,5.0,
2024-10-29,8.0,7.0,7.0,,5.0,5.0,1.0
2024-10-30,5.0,2.0,7.0,,4.0,3.0,1.0
2024-10-31,,3.0,7.0,,4.0,3.0,1.0
2024-11-01,,,,,,5.0,
2024-11-02,,,,,,4.0,2.0
2024-11-03,4.0,4.0,2.0,,3.0,4.0,1.0
2024-11-04,,3.0,7.0,,4.0,,1.0
2024-11-05,,,6.0,,,,1.0
2024-11-06,,4.0,7.0,,2.0,,1.0
2024-11-07,,,,,4.0,,2.0
2024-11-08,,3.0,7.0,,4.0,,1.0
2024-11-09,,,4.0,,4.0,,1.0
2024-11-10,,,,,-1.0,,
2024-11-11,,3.0,7.0,,2.0,,1.0
2024-11-12,,5.0,2.0,,4.0,4.0,1.0
2024-11-13,6.0,3.0,7.0,,4.0,3.0,2.0
2024-11-14,,,,,,6.0,1.0
2024-11-15,8.0,2.0,4.0,,5.0,3.0,1.0
2024-11-16,6.0,3.0,7.0,,2.0,5.0,1.0
2024-11-17,,3.0,7.0,,4.0,3.0,2.0
